"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"cvc","model1",4,640,2,5,2,5,1
"ncv1","model1",4,640,2,5,2,5,1
"ncv2","model1",4,640,2,5,2,5,1
"ncv3","model1",4,640,2,5,2,5,1
"cv","model1",4,640,3,13,3,5,0
"cv_1se","model1",4,640,3,5,2,5,1
"cvc","model1",4,640,3,5,2,5,1
"ncv1","model1",4,640,3,5,2,5,1
"ncv2","model1",4,640,3,13,3,5,0
"ncv3","model1",4,640,3,5,2,5,1
"cv","model1",4,640,4,6,3,5,0
"cv_1se","model1",4,640,4,5,2,5,1
"cvc","model1",4,640,4,5,2,5,1
"ncv1","model1",4,640,4,5,2,5,1
"ncv2","model1",4,640,4,7,3,5,0
"ncv3","model1",4,640,4,5,2,5,1
"cv","model1",4,640,5,5,2,5,1
"cv_1se","model1",4,640,5,5,2,5,1
"cvc","model1",4,640,5,5,2,5,1
"ncv1","model1",4,640,5,5,2,5,1
"ncv2","model1",4,640,5,5,2,5,1
"ncv3","model1",4,640,5,5,2,5,1
"cv","model1",4,640,6,5,2,5,1
"cv_1se","model1",4,640,6,5,2,5,1
"cvc","model1",4,640,6,5,2,5,1
"ncv1","model1",4,640,6,5,2,5,1
"ncv2","model1",4,640,6,5,2,5,1
"ncv3","model1",4,640,6,5,2,5,1
"cv","model1",4,640,7,5,2,5,1
"cv_1se","model1",4,640,7,5,2,5,1
"cvc","model1",4,640,7,5,2,5,1
"ncv1","model1",4,640,7,5,2,5,1
"ncv2","model1",4,640,7,5,2,5,1
"ncv3","model1",4,640,7,5,2,5,1
"cv","model1",4,640,8,7,3,5,0
"cv_1se","model1",4,640,8,5,2,5,1
"cvc","model1",4,640,8,5,2,5,1
"ncv1","model1",4,640,8,5,2,5,1
"ncv2","model1",4,640,8,5,2,5,1
"ncv3","model1",4,640,8,5,2,5,1
"cv","model1",4,640,9,5,2,5,1
"cv_1se","model1",4,640,9,5,2,5,1
"cvc","model1",4,640,9,5,2,5,1
"ncv1","model1",4,640,9,5,2,5,1
"ncv2","model1",4,640,9,5,2,5,1
"ncv3","model1",4,640,9,5,2,5,1
"cv","model1",4,640,10,5,2,5,1
"cv_1se","model1",4,640,10,5,2,5,1
"cvc","model1",4,640,10,5,2,5,1
"ncv1","model1",4,640,10,5,2,5,1
"ncv2","model1",4,640,10,5,2,5,1
"ncv3","model1",4,640,10,5,2,5,1
"cv","model1",4,640,11,13,3,5,0
"cv_1se","model1",4,640,11,5,2,5,1
"cvc","model1",4,640,11,5,2,5,1
"ncv1","model1",4,640,11,5,2,5,1
"ncv2","model1",4,640,11,5,2,5,1
"ncv3","model1",4,640,11,5,2,5,1
"cv","model1",4,640,12,6,3,5,0
"cv_1se","model1",4,640,12,5,2,5,1
"cvc","model1",4,640,12,5,2,5,1
"ncv1","model1",4,640,12,5,2,5,1
"ncv2","model1",4,640,12,5,2,5,1
"ncv3","model1",4,640,12,5,2,5,1
"cv","model1",4,640,13,7,3,5,0
"cv_1se","model1",4,640,13,5,2,5,1
"cvc","model1",4,640,13,5,2,5,1
"ncv1","model1",4,640,13,5,2,5,1
"ncv2","model1",4,640,13,7,3,5,0
"ncv3","model1",4,640,13,5,2,5,1
"cv","model1",4,640,14,5,2,5,1
"cv_1se","model1",4,640,14,5,2,5,1
"cvc","model1",4,640,14,5,2,5,1
"ncv1","model1",4,640,14,5,2,5,1
"ncv2","model1",4,640,14,13,3,5,0
"ncv3","model1",4,640,14,5,2,5,1
"cv","model1",4,640,15,5,2,5,1
"cv_1se","model1",4,640,15,5,2,5,1
"cvc","model1",4,640,15,5,2,5,1
"ncv1","model1",4,640,15,5,2,5,1
"ncv2","model1",4,640,15,5,2,5,1
"ncv3","model1",4,640,15,5,2,5,1
"cv","model1",4,640,16,5,2,5,1
"cv_1se","model1",4,640,16,5,2,5,1
"cvc","model1",4,640,16,5,2,5,1
"ncv1","model1",4,640,16,5,2,5,1
"ncv2","model1",4,640,16,6,3,5,0
"ncv3","model1",4,640,16,5,2,5,1
"cv","model1",4,640,17,8,4,5,0
"cv_1se","model1",4,640,17,5,2,5,1
"cvc","model1",4,640,17,5,2,5,1
"ncv1","model1",4,640,17,5,2,5,1
"ncv2","model1",4,640,17,6,3,5,0
"ncv3","model1",4,640,17,5,2,5,1
"cv","model1",4,640,18,5,2,5,1
"cv_1se","model1",4,640,18,5,2,5,1
"cvc","model1",4,640,18,5,2,5,1
"ncv1","model1",4,640,18,5,2,5,1
"ncv2","model1",4,640,18,5,2,5,1
"ncv3","model1",4,640,18,5,2,5,1
"cv","model1",4,640,19,13,3,5,0
"cv_1se","model1",4,640,19,5,2,5,1
"cvc","model1",4,640,19,5,2,5,1
"ncv1","model1",4,640,19,5,2,5,1
"ncv2","model1",4,640,19,5,2,5,1
"ncv3","model1",4,640,19,5,2,5,1
"cv","model1",4,640,20,5,2,5,1
"cv_1se","model1",4,640,20,5,2,5,1
"cvc","model1",4,640,20,5,2,5,1
"ncv1","model1",4,640,20,5,2,5,1
"ncv2","model1",4,640,20,7,3,5,0
"ncv3","model1",4,640,20,5,2,5,1
"cv","model1",4,640,21,5,2,5,1
"cv_1se","model1",4,640,21,5,2,5,1
"cvc","model1",4,640,21,5,2,5,1
"ncv1","model1",4,640,21,5,2,5,1
"ncv2","model1",4,640,21,7,3,5,0
"ncv3","model1",4,640,21,5,2,5,1
"cv","model1",4,640,22,5,2,5,1
"cv_1se","model1",4,640,22,5,2,5,1
"cvc","model1",4,640,22,5,2,5,1
"ncv1","model1",4,640,22,5,2,5,1
"ncv2","model1",4,640,22,5,2,5,1
"ncv3","model1",4,640,22,5,2,5,1
"cv","model1",4,640,23,5,2,5,1
"cv_1se","model1",4,640,23,5,2,5,1
"cvc","model1",4,640,23,5,2,5,1
"ncv1","model1",4,640,23,5,2,5,1
"ncv2","model1",4,640,23,5,2,5,1
"ncv3","model1",4,640,23,5,2,5,1
"cv","model1",4,640,24,5,2,5,1
"cv_1se","model1",4,640,24,5,2,5,1
"cvc","model1",4,640,24,5,2,5,1
"ncv1","model1",4,640,24,5,2,5,1
"ncv2","model1",4,640,24,5,2,5,1
"ncv3","model1",4,640,24,5,2,5,1
"cv","model1",4,640,25,5,2,5,1
"cv_1se","model1",4,640,25,5,2,5,1
"cvc","model1",4,640,25,5,2,5,1
"ncv1","model1",4,640,25,5,2,5,1
"ncv2","model1",4,640,25,15,4,5,0
"ncv3","model1",4,640,25,5,2,5,1
"cv","model1",4,640,26,13,3,5,0
"cv_1se","model1",4,640,26,5,2,5,1
"cvc","model1",4,640,26,5,2,5,1
"ncv1","model1",4,640,26,5,2,5,1
"ncv2","model1",4,640,26,5,2,5,1
"ncv3","model1",4,640,26,5,2,5,1
"cv","model1",4,640,27,5,2,5,1
"cv_1se","model1",4,640,27,5,2,5,1
"cvc","model1",4,640,27,5,2,5,1
"ncv1","model1",4,640,27,5,2,5,1
"ncv2","model1",4,640,27,5,2,5,1
"ncv3","model1",4,640,27,5,2,5,1
"cv","model1",4,640,28,13,3,5,0
"cv_1se","model1",4,640,28,5,2,5,1
"cvc","model1",4,640,28,5,2,5,1
"ncv1","model1",4,640,28,5,2,5,1
"ncv2","model1",4,640,28,5,2,5,1
"ncv3","model1",4,640,28,5,2,5,1
"cv","model1",4,640,29,15,4,5,0
"cv_1se","model1",4,640,29,5,2,5,1
"cvc","model1",4,640,29,5,2,5,1
"ncv1","model1",4,640,29,5,2,5,1
"ncv2","model1",4,640,29,7,3,5,0
"ncv3","model1",4,640,29,5,2,5,1
"cv","model1",4,640,30,7,3,5,0
"cv_1se","model1",4,640,30,5,2,5,1
"cvc","model1",4,640,30,5,2,5,1
"ncv1","model1",4,640,30,5,2,5,1
"ncv2","model1",4,640,30,7,3,5,0
"ncv3","model1",4,640,30,5,2,5,1
"cv","model1",4,640,31,5,2,5,1
"cv_1se","model1",4,640,31,5,2,5,1
"cvc","model1",4,640,31,5,2,5,1
"ncv1","model1",4,640,31,5,2,5,1
"ncv2","model1",4,640,31,6,3,5,0
"ncv3","model1",4,640,31,5,2,5,1
"cv","model1",4,640,32,13,3,5,0
"cv_1se","model1",4,640,32,5,2,5,1
"cvc","model1",4,640,32,5,2,5,1
"ncv1","model1",4,640,32,5,2,5,1
"ncv2","model1",4,640,32,5,2,5,1
"ncv3","model1",4,640,32,5,2,5,1
"cv","model1",4,640,33,6,3,5,0
"cv_1se","model1",4,640,33,5,2,5,1
"cvc","model1",4,640,33,5,2,5,1
"ncv1","model1",4,640,33,5,2,5,1
"ncv2","model1",4,640,33,8,4,5,0
"ncv3","model1",4,640,33,5,2,5,1
"cv","model1",4,640,34,5,2,5,1
"cv_1se","model1",4,640,34,5,2,5,1
"cvc","model1",4,640,34,5,2,5,1
"ncv1","model1",4,640,34,5,2,5,1
"ncv2","model1",4,640,34,5,2,5,1
"ncv3","model1",4,640,34,5,2,5,1
"cv","model1",4,640,35,6,3,5,0
"cv_1se","model1",4,640,35,5,2,5,1
"cvc","model1",4,640,35,5,2,5,1
"ncv1","model1",4,640,35,5,2,5,1
"ncv2","model1",4,640,35,5,2,5,1
"ncv3","model1",4,640,35,5,2,5,1
"cv","model1",4,640,36,5,2,5,1
"cv_1se","model1",4,640,36,5,2,5,1
"cvc","model1",4,640,36,5,2,5,1
"ncv1","model1",4,640,36,5,2,5,1
"ncv2","model1",4,640,36,5,2,5,1
"ncv3","model1",4,640,36,5,2,5,1
"cv","model1",4,640,37,5,2,5,1
"cv_1se","model1",4,640,37,5,2,5,1
"cvc","model1",4,640,37,5,2,5,1
"ncv1","model1",4,640,37,5,2,5,1
"ncv2","model1",4,640,37,7,3,5,0
"ncv3","model1",4,640,37,5,2,5,1
"cv","model1",4,640,38,7,3,5,0
"cv_1se","model1",4,640,38,5,2,5,1
"cvc","model1",4,640,38,5,2,5,1
"ncv1","model1",4,640,38,5,2,5,1
"ncv2","model1",4,640,38,5,2,5,1
"ncv3","model1",4,640,38,5,2,5,1
"cv","model1",4,640,39,6,3,5,0
"cv_1se","model1",4,640,39,5,2,5,1
"cvc","model1",4,640,39,5,2,5,1
"ncv1","model1",4,640,39,5,2,5,1
"ncv2","model1",4,640,39,5,2,5,1
"ncv3","model1",4,640,39,5,2,5,1
"cv","model1",4,640,40,5,2,5,1
"cv_1se","model1",4,640,40,5,2,5,1
"cvc","model1",4,640,40,5,2,5,1
"ncv1","model1",4,640,40,5,2,5,1
"ncv2","model1",4,640,40,6,3,5,0
"ncv3","model1",4,640,40,5,2,5,1
"cv","model1",4,640,41,16,5,5,0
"cv_1se","model1",4,640,41,5,2,5,1
"cvc","model1",4,640,41,5,2,5,1
"ncv1","model1",4,640,41,5,2,5,1
"ncv2","model1",4,640,41,6,3,5,0
"ncv3","model1",4,640,41,5,2,5,1
"cv","model1",4,640,42,5,2,5,1
"cv_1se","model1",4,640,42,5,2,5,1
"cvc","model1",4,640,42,5,2,5,1
"ncv1","model1",4,640,42,5,2,5,1
"ncv2","model1",4,640,42,5,2,5,1
"ncv3","model1",4,640,42,5,2,5,1
"cv","model1",4,640,43,6,3,5,0
"cv_1se","model1",4,640,43,5,2,5,1
"cvc","model1",4,640,43,5,2,5,1
"ncv1","model1",4,640,43,5,2,5,1
"ncv2","model1",4,640,43,5,2,5,1
"ncv3","model1",4,640,43,5,2,5,1
"cv","model1",4,640,44,5,2,5,1
"cv_1se","model1",4,640,44,5,2,5,1
"cvc","model1",4,640,44,5,2,5,1
"ncv1","model1",4,640,44,5,2,5,1
"ncv2","model1",4,640,44,5,2,5,1
"ncv3","model1",4,640,44,5,2,5,1
"cv","model1",4,640,45,13,3,5,0
"cv_1se","model1",4,640,45,5,2,5,1
"cvc","model1",4,640,45,5,2,5,1
"ncv1","model1",4,640,45,5,2,5,1
"ncv2","model1",4,640,45,5,2,5,1
"ncv3","model1",4,640,45,5,2,5,1
"cv","model1",4,640,46,6,3,5,0
"cv_1se","model1",4,640,46,5,2,5,1
"cvc","model1",4,640,46,5,2,5,1
"ncv1","model1",4,640,46,5,2,5,1
"ncv2","model1",4,640,46,5,2,5,1
"ncv3","model1",4,640,46,5,2,5,1
"cv","model1",4,640,47,5,2,5,1
"cv_1se","model1",4,640,47,5,2,5,1
"cvc","model1",4,640,47,5,2,5,1
"ncv1","model1",4,640,47,5,2,5,1
"ncv2","model1",4,640,47,7,3,5,0
"ncv3","model1",4,640,47,5,2,5,1
"cv","model1",4,640,48,6,3,5,0
"cv_1se","model1",4,640,48,5,2,5,1
"cvc","model1",4,640,48,5,2,5,1
"ncv1","model1",4,640,48,5,2,5,1
"ncv2","model1",4,640,48,5,2,5,1
"ncv3","model1",4,640,48,5,2,5,1
"cv","model1",4,640,49,14,4,5,0
"cv_1se","model1",4,640,49,5,2,5,1
"cvc","model1",4,640,49,5,2,5,1
"ncv1","model1",4,640,49,5,2,5,1
"ncv2","model1",4,640,49,5,2,5,1
"ncv3","model1",4,640,49,5,2,5,1
"cv","model1",4,640,50,6,3,5,0
"cv_1se","model1",4,640,50,5,2,5,1
"cvc","model1",4,640,50,5,2,5,1
"ncv1","model1",4,640,50,5,2,5,1
"ncv2","model1",4,640,50,5,2,5,1
"ncv3","model1",4,640,50,5,2,5,1
"cv","model1",4,640,51,5,2,5,1
"cv_1se","model1",4,640,51,5,2,5,1
"cvc","model1",4,640,51,5,2,5,1
"ncv1","model1",4,640,51,5,2,5,1
"ncv2","model1",4,640,51,5,2,5,1
"ncv3","model1",4,640,51,5,2,5,1
"cv","model1",4,640,52,15,4,5,0
"cv_1se","model1",4,640,52,5,2,5,1
"cvc","model1",4,640,52,5,2,5,1
"ncv1","model1",4,640,52,5,2,5,1
"ncv2","model1",4,640,52,15,4,5,0
"ncv3","model1",4,640,52,5,2,5,1
"cv","model1",4,640,53,5,2,5,1
"cv_1se","model1",4,640,53,5,2,5,1
"cvc","model1",4,640,53,5,2,5,1
"ncv1","model1",4,640,53,5,2,5,1
"ncv2","model1",4,640,53,5,2,5,1
"ncv3","model1",4,640,53,5,2,5,1
"cv","model1",4,640,54,5,2,5,1
"cv_1se","model1",4,640,54,5,2,5,1
"cvc","model1",4,640,54,5,2,5,1
"ncv1","model1",4,640,54,5,2,5,1
"ncv2","model1",4,640,54,5,2,5,1
"ncv3","model1",4,640,54,5,2,5,1
"cv","model1",4,640,55,5,2,5,1
"cv_1se","model1",4,640,55,5,2,5,1
"cvc","model1",4,640,55,5,2,5,1
"ncv1","model1",4,640,55,5,2,5,1
"ncv2","model1",4,640,55,5,2,5,1
"ncv3","model1",4,640,55,5,2,5,1
"cv","model1",4,640,56,5,2,5,1
"cv_1se","model1",4,640,56,5,2,5,1
"cvc","model1",4,640,56,5,2,5,1
"ncv1","model1",4,640,56,5,2,5,1
"ncv2","model1",4,640,56,5,2,5,1
"ncv3","model1",4,640,56,5,2,5,1
"cv","model1",4,640,57,6,3,5,0
"cv_1se","model1",4,640,57,5,2,5,1
"cvc","model1",4,640,57,5,2,5,1
"ncv1","model1",4,640,57,5,2,5,1
"ncv2","model1",4,640,57,5,2,5,1
"ncv3","model1",4,640,57,5,2,5,1
"cv","model1",4,640,58,5,2,5,1
"cv_1se","model1",4,640,58,5,2,5,1
"cvc","model1",4,640,58,5,2,5,1
"ncv1","model1",4,640,58,5,2,5,1
"ncv2","model1",4,640,58,7,3,5,0
"ncv3","model1",4,640,58,5,2,5,1
"cv","model1",4,640,59,5,2,5,1
"cv_1se","model1",4,640,59,5,2,5,1
"cvc","model1",4,640,59,5,2,5,1
"ncv1","model1",4,640,59,5,2,5,1
"ncv2","model1",4,640,59,5,2,5,1
"ncv3","model1",4,640,59,5,2,5,1
"cv","model1",4,640,60,13,3,5,0
"cv_1se","model1",4,640,60,5,2,5,1
"cvc","model1",4,640,60,5,2,5,1
"ncv1","model1",4,640,60,5,2,5,1
"ncv2","model1",4,640,60,14,4,5,0
"ncv3","model1",4,640,60,5,2,5,1
"cv","model1",4,640,61,13,3,5,0
"cv_1se","model1",4,640,61,5,2,5,1
"cvc","model1",4,640,61,5,2,5,1
"ncv1","model1",4,640,61,5,2,5,1
"ncv2","model1",4,640,61,13,3,5,0
"ncv3","model1",4,640,61,5,2,5,1
"cv","model1",4,640,62,6,3,5,0
"cv_1se","model1",4,640,62,5,2,5,1
"cvc","model1",4,640,62,5,2,5,1
"ncv1","model1",4,640,62,5,2,5,1
"ncv2","model1",4,640,62,8,4,5,0
"ncv3","model1",4,640,62,5,2,5,1
"cv","model1",4,640,63,5,2,5,1
"cv_1se","model1",4,640,63,5,2,5,1
"cvc","model1",4,640,63,5,2,5,1
"ncv1","model1",4,640,63,5,2,5,1
"ncv2","model1",4,640,63,5,2,5,1
"ncv3","model1",4,640,63,5,2,5,1
"cv","model1",4,640,64,13,3,5,0
"cv_1se","model1",4,640,64,5,2,5,1
"cvc","model1",4,640,64,5,2,5,1
"ncv1","model1",4,640,64,5,2,5,1
"ncv2","model1",4,640,64,13,3,5,0
"ncv3","model1",4,640,64,5,2,5,1
"cv","model1",4,640,65,5,2,5,1
"cv_1se","model1",4,640,65,5,2,5,1
"cvc","model1",4,640,65,5,2,5,1
"ncv1","model1",4,640,65,5,2,5,1
"ncv2","model1",4,640,65,5,2,5,1
"ncv3","model1",4,640,65,5,2,5,1
"cv","model1",4,640,66,5,2,5,1
"cv_1se","model1",4,640,66,5,2,5,1
"cvc","model1",4,640,66,5,2,5,1
"ncv1","model1",4,640,66,5,2,5,1
"ncv2","model1",4,640,66,5,2,5,1
"ncv3","model1",4,640,66,5,2,5,1
"cv","model1",4,640,67,15,4,5,0
"cv_1se","model1",4,640,67,5,2,5,1
"cvc","model1",4,640,67,5,2,5,1
"ncv1","model1",4,640,67,5,2,5,1
"ncv2","model1",4,640,67,6,3,5,0
"ncv3","model1",4,640,67,5,2,5,1
"cv","model1",4,640,68,5,2,5,1
"cv_1se","model1",4,640,68,5,2,5,1
"cvc","model1",4,640,68,5,2,5,1
"ncv1","model1",4,640,68,5,2,5,1
"ncv2","model1",4,640,68,5,2,5,1
"ncv3","model1",4,640,68,5,2,5,1
"cv","model1",4,640,69,15,4,5,0
"cv_1se","model1",4,640,69,5,2,5,1
"cvc","model1",4,640,69,5,2,5,1
"ncv1","model1",4,640,69,5,2,5,1
"ncv2","model1",4,640,69,15,4,5,0
"ncv3","model1",4,640,69,5,2,5,1
"cv","model1",4,640,70,6,3,5,0
"cv_1se","model1",4,640,70,5,2,5,1
"cvc","model1",4,640,70,5,2,5,1
"ncv1","model1",4,640,70,5,2,5,1
"ncv2","model1",4,640,70,5,2,5,1
"ncv3","model1",4,640,70,5,2,5,1
"cv","model1",4,640,71,5,2,5,1
"cv_1se","model1",4,640,71,5,2,5,1
"cvc","model1",4,640,71,5,2,5,1
"ncv1","model1",4,640,71,5,2,5,1
"ncv2","model1",4,640,71,5,2,5,1
"ncv3","model1",4,640,71,5,2,5,1
"cv","model1",4,640,72,5,2,5,1
"cv_1se","model1",4,640,72,5,2,5,1
"cvc","model1",4,640,72,5,2,5,1
"ncv1","model1",4,640,72,5,2,5,1
"ncv2","model1",4,640,72,5,2,5,1
"ncv3","model1",4,640,72,5,2,5,1
"cv","model1",4,640,73,5,2,5,1
"cv_1se","model1",4,640,73,5,2,5,1
"cvc","model1",4,640,73,5,2,5,1
"ncv1","model1",4,640,73,5,2,5,1
"ncv2","model1",4,640,73,13,3,5,0
"ncv3","model1",4,640,73,5,2,5,1
"cv","model1",4,640,74,15,4,5,0
"cv_1se","model1",4,640,74,5,2,5,1
"cvc","model1",4,640,74,5,2,5,1
"ncv1","model1",4,640,74,5,2,5,1
"ncv2","model1",4,640,74,5,2,5,1
"ncv3","model1",4,640,74,5,2,5,1
"cv","model1",4,640,75,5,2,5,1
"cv_1se","model1",4,640,75,5,2,5,1
"cvc","model1",4,640,75,5,2,5,1
"ncv1","model1",4,640,75,5,2,5,1
"ncv2","model1",4,640,75,5,2,5,1
"ncv3","model1",4,640,75,5,2,5,1
"cv","model1",4,640,76,5,2,5,1
"cv_1se","model1",4,640,76,5,2,5,1
"cvc","model1",4,640,76,5,2,5,1
"ncv1","model1",4,640,76,5,2,5,1
"ncv2","model1",4,640,76,5,2,5,1
"ncv3","model1",4,640,76,5,2,5,1
"cv","model1",4,640,77,5,2,5,1
"cv_1se","model1",4,640,77,5,2,5,1
"cvc","model1",4,640,77,5,2,5,1
"ncv1","model1",4,640,77,5,2,5,1
"ncv2","model1",4,640,77,5,2,5,1
"ncv3","model1",4,640,77,5,2,5,1
"cv","model1",4,640,78,14,4,5,0
"cv_1se","model1",4,640,78,5,2,5,1
"cvc","model1",4,640,78,5,2,5,1
"ncv1","model1",4,640,78,5,2,5,1
"ncv2","model1",4,640,78,13,3,5,0
"ncv3","model1",4,640,78,5,2,5,1
"cv","model1",4,640,79,13,3,5,0
"cv_1se","model1",4,640,79,5,2,5,1
"cvc","model1",4,640,79,5,2,5,1
"ncv1","model1",4,640,79,5,2,5,1
"ncv2","model1",4,640,79,5,2,5,1
"ncv3","model1",4,640,79,5,2,5,1
"cv","model1",4,640,80,5,2,5,1
"cv_1se","model1",4,640,80,5,2,5,1
"cvc","model1",4,640,80,5,2,5,1
"ncv1","model1",4,640,80,5,2,5,1
"ncv2","model1",4,640,80,5,2,5,1
"ncv3","model1",4,640,80,5,2,5,1
"cv","model1",4,640,81,15,4,5,0
"cv_1se","model1",4,640,81,5,2,5,1
"cvc","model1",4,640,81,5,2,5,1
"ncv1","model1",4,640,81,5,2,5,1
"ncv2","model1",4,640,81,5,2,5,1
"ncv3","model1",4,640,81,5,2,5,1
"cv","model1",4,640,82,13,3,5,0
"cv_1se","model1",4,640,82,5,2,5,1
"cvc","model1",4,640,82,5,2,5,1
"ncv1","model1",4,640,82,5,2,5,1
"ncv2","model1",4,640,82,5,2,5,1
"ncv3","model1",4,640,82,5,2,5,1
"cv","model1",4,640,83,7,3,5,0
"cv_1se","model1",4,640,83,5,2,5,1
"cvc","model1",4,640,83,5,2,5,1
"ncv1","model1",4,640,83,5,2,5,1
"ncv2","model1",4,640,83,7,3,5,0
"ncv3","model1",4,640,83,5,2,5,1
"cv","model1",4,640,84,5,2,5,1
"cv_1se","model1",4,640,84,5,2,5,1
"cvc","model1",4,640,84,5,2,5,1
"ncv1","model1",4,640,84,5,2,5,1
"ncv2","model1",4,640,84,13,3,5,0
"ncv3","model1",4,640,84,5,2,5,1
"cv","model1",4,640,85,5,2,5,1
"cv_1se","model1",4,640,85,5,2,5,1
"cvc","model1",4,640,85,5,2,5,1
"ncv1","model1",4,640,85,5,2,5,1
"ncv2","model1",4,640,85,5,2,5,1
"ncv3","model1",4,640,85,5,2,5,1
"cv","model1",4,640,86,5,2,5,1
"cv_1se","model1",4,640,86,5,2,5,1
"cvc","model1",4,640,86,5,2,5,1
"ncv1","model1",4,640,86,5,2,5,1
"ncv2","model1",4,640,86,6,3,5,0
"ncv3","model1",4,640,86,5,2,5,1
"cv","model1",4,640,87,5,2,5,1
"cv_1se","model1",4,640,87,5,2,5,1
"cvc","model1",4,640,87,5,2,5,1
"ncv1","model1",4,640,87,5,2,5,1
"ncv2","model1",4,640,87,5,2,5,1
"ncv3","model1",4,640,87,5,2,5,1
"cv","model1",4,640,88,5,2,5,1
"cv_1se","model1",4,640,88,5,2,5,1
"cvc","model1",4,640,88,5,2,5,1
"ncv1","model1",4,640,88,5,2,5,1
"ncv2","model1",4,640,88,5,2,5,1
"ncv3","model1",4,640,88,5,2,5,1
"cv","model1",4,640,89,5,2,5,1
"cv_1se","model1",4,640,89,5,2,5,1
"cvc","model1",4,640,89,5,2,5,1
"ncv1","model1",4,640,89,5,2,5,1
"ncv2","model1",4,640,89,13,3,5,0
"ncv3","model1",4,640,89,5,2,5,1
"cv","model1",4,640,90,14,4,5,0
"cv_1se","model1",4,640,90,5,2,5,1
"cvc","model1",4,640,90,5,2,5,1
"ncv1","model1",4,640,90,5,2,5,1
"ncv2","model1",4,640,90,6,3,5,0
"ncv3","model1",4,640,90,5,2,5,1
"cv","model1",4,640,91,7,3,5,0
"cv_1se","model1",4,640,91,5,2,5,1
"cvc","model1",4,640,91,5,2,5,1
"ncv1","model1",4,640,91,5,2,5,1
"ncv2","model1",4,640,91,7,3,5,0
"ncv3","model1",4,640,91,5,2,5,1
"cv","model1",4,640,92,6,3,5,0
"cv_1se","model1",4,640,92,5,2,5,1
"cvc","model1",4,640,92,5,2,5,1
"ncv1","model1",4,640,92,5,2,5,1
"ncv2","model1",4,640,92,6,3,5,0
"ncv3","model1",4,640,92,5,2,5,1
"cv","model1",4,640,93,5,2,5,1
"cv_1se","model1",4,640,93,5,2,5,1
"cvc","model1",4,640,93,5,2,5,1
"ncv1","model1",4,640,93,5,2,5,1
"ncv2","model1",4,640,93,5,2,5,1
"ncv3","model1",4,640,93,5,2,5,1
"cv","model1",4,640,94,13,3,5,0
"cv_1se","model1",4,640,94,5,2,5,1
"cvc","model1",4,640,94,5,2,5,1
"ncv1","model1",4,640,94,5,2,5,1
"ncv2","model1",4,640,94,14,4,5,0
"ncv3","model1",4,640,94,5,2,5,1
"cv","model1",4,640,95,13,3,5,0
"cv_1se","model1",4,640,95,5,2,5,1
"cvc","model1",4,640,95,5,2,5,1
"ncv1","model1",4,640,95,5,2,5,1
"ncv2","model1",4,640,95,14,4,5,0
"ncv3","model1",4,640,95,5,2,5,1
"cv","model1",4,640,96,7,3,5,0
"cv_1se","model1",4,640,96,5,2,5,1
"cvc","model1",4,640,96,5,2,5,1
"ncv1","model1",4,640,96,5,2,5,1
"ncv2","model1",4,640,96,5,2,5,1
"ncv3","model1",4,640,96,5,2,5,1
"cv","model1",4,640,97,5,2,5,1
"cv_1se","model1",4,640,97,5,2,5,1
"cvc","model1",4,640,97,5,2,5,1
"ncv1","model1",4,640,97,5,2,5,1
"ncv2","model1",4,640,97,5,2,5,1
"ncv3","model1",4,640,97,5,2,5,1
"cv","model1",4,640,98,5,2,5,1
"cv_1se","model1",4,640,98,5,2,5,1
"cvc","model1",4,640,98,5,2,5,1
"ncv1","model1",4,640,98,5,2,5,1
"ncv2","model1",4,640,98,5,2,5,1
"ncv3","model1",4,640,98,5,2,5,1
"cv","model1",4,640,99,7,3,5,0
"cv_1se","model1",4,640,99,5,2,5,1
"cvc","model1",4,640,99,5,2,5,1
"ncv1","model1",4,640,99,5,2,5,1
"ncv2","model1",4,640,99,5,2,5,1
"ncv3","model1",4,640,99,5,2,5,1
"cv","model1",4,640,100,5,2,5,1
"cv_1se","model1",4,640,100,5,2,5,1
"cvc","model1",4,640,100,5,2,5,1
"ncv1","model1",4,640,100,5,2,5,1
"ncv2","model1",4,640,100,8,4,5,0
"ncv3","model1",4,640,100,5,2,5,1
"cv","model2",1,40,1,14,4,14,1
"cv_1se","model2",1,40,1,14,4,14,1
"cvc","model2",1,40,1,14,4,14,1
"ncv1","model2",1,40,1,14,4,14,1
"ncv2","model2",1,40,1,14,4,14,1
"ncv3","model2",1,40,1,14,4,14,1
"cv","model2",1,40,2,14,4,14,1
"cv_1se","model2",1,40,2,14,4,14,1
"cvc","model2",1,40,2,14,4,14,1
"ncv1","model2",1,40,2,14,4,14,1
"ncv2","model2",1,40,2,14,4,14,1
"ncv3","model2",1,40,2,14,4,14,1
"cv","model2",1,40,3,16,5,14,0
"cv_1se","model2",1,40,3,14,4,14,1
"cvc","model2",1,40,3,14,4,14,1
"ncv1","model2",1,40,3,14,4,14,1
"ncv2","model2",1,40,3,14,4,14,1
"ncv3","model2",1,40,3,14,4,14,1
"cv","model2",1,40,4,14,4,14,1
"cv_1se","model2",1,40,4,14,4,14,1
"cvc","model2",1,40,4,14,4,14,1
"ncv1","model2",1,40,4,14,4,14,1
"ncv2","model2",1,40,4,14,4,14,1
