"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"ncv2","model1",1,40,92,13,3,5,0
"ncv3","model1",1,40,92,5,2,5,1
"cv","model1",1,40,93,5,2,5,1
"cv_1se","model1",1,40,93,5,2,5,1
"cvc","model1",1,40,93,5,2,5,1
"ncv1","model1",1,40,93,5,2,5,1
"ncv2","model1",1,40,93,5,2,5,1
"ncv3","model1",1,40,93,5,2,5,1
"cv","model1",1,40,94,6,3,5,0
"cv_1se","model1",1,40,94,5,2,5,1
"cvc","model1",1,40,94,5,2,5,1
"ncv1","model1",1,40,94,5,2,5,1
"ncv2","model1",1,40,94,5,2,5,1
"ncv3","model1",1,40,94,5,2,5,1
"cv","model1",1,40,95,5,2,5,1
"cv_1se","model1",1,40,95,5,2,5,1
"cvc","model1",1,40,95,5,2,5,1
"ncv1","model1",1,40,95,5,2,5,1
"ncv2","model1",1,40,95,5,2,5,1
"ncv3","model1",1,40,95,5,2,5,1
"cv","model1",1,40,96,13,3,5,0
"cv_1se","model1",1,40,96,5,2,5,1
"cvc","model1",1,40,96,5,2,5,1
"ncv1","model1",1,40,96,5,2,5,1
"ncv2","model1",1,40,96,5,2,5,1
"ncv3","model1",1,40,96,5,2,5,1
"cv","model1",1,40,97,6,3,5,0
"cv_1se","model1",1,40,97,5,2,5,1
"cvc","model1",1,40,97,5,2,5,1
"ncv1","model1",1,40,97,5,2,5,1
"ncv2","model1",1,40,97,14,4,5,0
"ncv3","model1",1,40,97,5,2,5,1
"cv","model1",1,40,98,13,3,5,0
"cv_1se","model1",1,40,98,5,2,5,1
"cvc","model1",1,40,98,5,2,5,1
"ncv1","model1",1,40,98,5,2,5,1
"ncv2","model1",1,40,98,14,4,5,0
"ncv3","model1",1,40,98,5,2,5,1
"cv","model1",1,40,99,8,4,5,0
"cv_1se","model1",1,40,99,5,2,5,1
"cvc","model1",1,40,99,5,2,5,1
"ncv1","model1",1,40,99,5,2,5,1
"ncv2","model1",1,40,99,5,2,5,1
"ncv3","model1",1,40,99,5,2,5,1
"cv","model1",1,40,100,8,4,5,0
